Thu Jun 11 15:48:29 2026    fastslam.prof_LORANSAC3

         26344788 function calls (26077589 primitive calls) in 114.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       69    0.979    0.014  113.167    1.640 /opt/ros/jazzy/lib/python3.12/site-packages/tf2_ros/transform_broadcaster.py:63(sendTransform)
    69730    7.155    0.000   61.329    0.001 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:262(_process_particle_data_association)
    69729   10.198    0.000   26.542    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:355(_extend_particle_landmark_map)
    10455    1.105    0.000   21.435    0.002 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:381(lo_ransac_kabsch)
    69729    2.649    0.000   18.351    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:340(_evaluate_particle_weights)
    65878    2.631    0.000   14.168    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:419(kabsch_2d)
    69730    4.335    0.000   13.386    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:435(get_visible_landmarks)
      148    0.034    0.000   11.933    0.081 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/publisher.py:60(publish)
  2458701    9.369    0.000    9.369    0.000 {built-in method numpy.array}
   511255    4.826    0.000    8.926    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:154(_compute_feature_covariance)
   131756    0.498    0.000    8.883    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:3385(mean)
   131756    2.382    0.000    8.385    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:101(_mean)
   162609    2.635    0.000    8.327    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:492(inv)
   122840    1.919    0.000    7.722    0.000 /usr/lib/python3.12/random.py:359(sample)
