timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta,driven_dist_m,xy_euclidean_error_m,x_error_m,y_error_m,yaw_error_deg
1777312764.8954,,,0.000000,0.000000,,,0.0000,,,,
1777312764.8954,,,0.000000,0.000000,,90.0000,0.0000,,,,
1777312764.9955,,,0.000000,0.000000,,90.0000,0.0000,,,,
1777312764.9955,,,0.000000,0.000000,,90.0000,0.0000,,,,
1777312765.0953,,,0.000000,0.000000,,90.0000,0.0000,,,,
1777312765.0953,,,0.000000,0.000000,,90.0000,0.0000,,,,
1777312765.1952,,,0.000100,-0.000000,,90.0000,0.0001,,,,
1777312765.1952,,,0.000100,-0.000000,,90.0000,0.0001,,,,
1777312765.3033,,,-0.000000,-0.000100,,90.0000,0.0002,,,,
1777312765.3033,,,-0.000000,-0.000100,,90.0000,0.0002,,,,
1777312765.3979,,,0.000000,0.000000,,90.0000,0.0003,,,,
1777312765.3979,,,0.000000,0.000000,,90.0000,0.0003,,,,
1777312765.4968,,,0.000000,-0.000000,,90.0000,0.0003,,,,
1777312765.4968,,,0.000000,-0.000000,,90.0000,0.0003,,,,
1777312765.5974,,,0.000000,0.000000,,90.0000,0.0003,,,,
1777312765.5974,,,0.000000,0.000000,,90.0000,0.0003,,,,
1777312765.6964,,,0.000000,-0.000100,,90.0000,0.0004,,,,
1777312765.6964,,,0.000000,-0.000100,,90.0000,0.0004,,,,
1777312765.7973,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312765.7973,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312765.9006,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312765.9006,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312765.9966,,,0.000000,-0.000000,,90.0000,0.0005,,,,
1777312765.9966,,,0.000000,-0.000000,,90.0000,0.0005,,,,
1777312766.1994,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312766.1994,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312766.3000,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312766.3000,,,0.000000,0.000000,,90.0000,0.0005,,,,
1777312766.4020,,,-0.000000,-0.000100,,90.0000,0.0006,,,,
